epoch,acc,loss,val_acc,val_loss
0,0.3928485141914517,1.5305287323011871,0.5193423599984706,1.232707412607204
1,0.5777965693492249,1.0654471751197174,0.5522243711427286,1.0691803630362167
2,0.6284126601204201,0.9148020660223435,0.5783365570599613,1.0099530783797142
3,0.6628412657470685,0.832104951208068,0.5923597680069722,0.9762770774516654
4,0.6827736169020604,0.779175142413552,0.6141199226305609,0.9598500016118388
5,0.7060884271851194,0.7291554561067992,0.6088007734638118,0.9537470910258634
6,0.7246919547224079,0.6925572324962713,0.6320116054158608,0.962017164008991
7,0.7388258032477343,0.6674047727664331,0.6368471954731231,0.9334174066032617
8,0.7504228076862235,0.6345194776468907,0.641682785415096,0.964939408652787
9,0.763590239332217,0.6092466409150515,0.6484526109879898,0.9574598170802487
10,0.7680599175521388,0.5895814148087696,0.647485493460753,0.9591034473256862
11,0.7707175645427331,0.575591666193278,0.6503868473106473,0.9838140146875289
12,0.7850930177811177,0.5449835596150262,0.6503868471953579,0.9997133228718889
