epoch,acc,loss,val_acc,val_loss
0,0.3833051463433814,1.5001826664479236,0.504352031063065,1.2067571262787573
1,0.5793669970319536,1.051364585609648,0.5652804643319239,1.0406188338822047
2,0.6388016428225107,0.8983607333793419,0.5913926501338671,1.0001032806687935
3,0.6746798743225866,0.8118696009142153,0.6102514505616932,0.9688224477740275
4,0.6931625996329526,0.7556486825028258,0.6083172147001934,0.9599523276840003
5,0.7111621162948415,0.7068202932205255,0.635880077600018,0.9575634758984328
6,0.7310944670610136,0.6700899715612522,0.6349129592657551,0.9561740739894329
7,0.7457115244364272,0.637508269682919,0.6387814315652017,0.9572887420654297
8,0.7614158011773094,0.6091350595655577,0.6503868469647789,0.9442707824753147
9,0.764677458568079,0.5858683871831201,0.6363636364789258,0.9858234973202822
10,0.7755496494866247,0.561110398286378,0.6489361699821871,0.9760956701964889
11,0.7826769752011664,0.5399617592647301,0.6615087038313167,0.9687532085053464
12,0.7974148344146829,0.5116251837403684,0.6610251449524088,1.0011866789030153
13,0.8070790046192823,0.49220563424154884,0.6702127659574468,1.0086105499322917
