epoch,acc,loss,val_acc,val_loss
0,0.3637352019123594,1.5526624963490334,0.4526112186839548,1.3235149777834836
1,0.5539985504896925,1.1306719360906854,0.5328820116054158,1.127689481012134
2,0.6630828703881232,0.8866574473788872,0.6305609283179794,0.9627251049766689
3,0.7532012562557072,0.7014244615988444,0.6271760155891772,0.9346423919242401
4,0.8047837642806542,0.5611371830570205,0.6856866536564707,0.8056326781758026
5,0.8419908188512055,0.4641503290036762,0.6673114121075525,0.859559408008937
6,0.8644600147554684,0.3979975110265073,0.7219535782212676,0.7549058232362773
7,0.8736409759515724,0.36449723159181063,0.7176015476193603,0.7738233225949728
8,0.8823387291472325,0.327239906702908,0.7272727275033062,0.8153752581985592
9,0.8939357331392989,0.3025052253031794,0.7437137330754352,0.7690773544044052
10,0.8967141818671908,0.29787535838356166,0.7180851063829787,0.8648681790501282
11,0.9009422565117122,0.27187184172570633,0.7403288198854753,0.7982196328257223
